Time (sec),Calculated Load (g/rev),CL Fuel Target (AFR),Comm Fuel Final (AFR),Dyn. Adv. Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Gear Position (Gear),Intake Temp Manifold (F),MAF Corr. (g/s),Boost (psi),Oil Temp (F),Req. Torque (Nm),TD Boost Error (psi),TGV Map Ratio (mult),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Accel. Position (%),Baro. Pressure (psi),Coolant Temp (F),Ignition Timing (°),Inj. Duty Cycle (%),Intake Temp (F),MAF Volt. (V),RPM (RPM),Throttle Pos. (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.3.0-17120][2017 USDM WRX MT COBB Custom Features][Reflash: Szymon-2017-WRX-Stage-2-FBO-E-Built-Tuned-No-Burble.ptm - Realtime: Szymon-2017-WRX-Stage-2-FBO-E-Built-Tuned-No-Burble.ptm]
0.000,0.26,14.63,14.64,1.000,0.00,0.00,389,438,0,93,3.62,-10.16,206,0.00,4.07,1.000,3.91,-2.34,14.86,0.0,14.65,199,4.00,0.70,84,1.02,816,4.7,0.00,0
0.007,0.26,14.63,14.64,1.000,0.00,0.00,395,438,0,93,3.61,-10.14,206,0.00,4.05,1.000,3.91,-2.34,14.90,0.0,14.65,199,4.00,0.70,84,1.02,814,4.7,0.00,0
0.013,0.26,14.63,14.64,1.000,0.00,0.00,406,438,0,93,3.61,-10.15,206,0.00,4.07,1.000,3.91,-2.34,14.88,0.0,14.65,199,4.00,0.70,84,1.02,814,4.7,0.00,0
0.017,0.26,14.63,14.64,1.000,0.00,0.00,392,438,0,93,3.60,-10.16,206,0.00,4.08,1.000,4.69,-2.34,14.84,0.0,14.65,199,4.00,0.69,84,1.02,813,4.7,0.00,0
0.042,0.26,14.63,14.64,1.000,0.00,0.00,395,438,0,93,3.60,-10.16,206,0.00,4.08,1.000,3.91,-2.34,14.83,0.0,14.65,199,4.50,0.69,84,1.02,813,4.7,0.00,0
0.048,0.26,14.63,14.64,1.000,0.00,0.00,389,438,0,93,3.60,-10.13,206,0.00,4.08,1.000,3.91,-2.34,14.86,0.0,14.65,199,4.50,0.69,84,1.02,813,4.7,0.00,0
0.075,0.26,14.63,14.64,1.000,0.00,0.00,395,438,0,93,3.58,-10.14,206,0.00,4.07,1.000,4.69,-2.34,14.86,0.0,14.65,199,4.50,0.69,84,1.02,812,4.7,0.00,0
0.130,0.26,14.63,14.64,1.000,0.00,0.00,385,438,0,93,3.58,-10.14,206,0.00,4.07,1.000,4.69,-2.34,14.85,0.0,14.65,199,4.50,0.69,84,1.02,812,4.7,0.00,0
0.136,0.26,14.63,14.64,1.000,0.00,0.00,401,438,0,93,3.59,-10.14,206,0.00,4.07,1.000,4.69,-2.34,14.83,0.0,14.65,199,4.50,0.69,84,1.02,814,4.7,0.00,0
0.171,0.26,14.63,14.64,1.000,0.00,0.00,403,438,0,93,3.59,-10.14,206,0.00,4.05,1.000,4.69,-2.34,14.85,0.0,14.65,199,4.50,0.69,84,1.02,814,4.7,0.00,0
0.174,0.26,14.63,14.64,1.000,0.00,0.00,383,438,0,93,3.59,-10.14,206,0.00,4.05,1.000,4.69,-2.34,14.86,0.0,14.65,199,4.50,0.69,84,1.02,815,4.7,0.00,0
0.207,0.26,14.63,14.64,1.000,0.00,0.00,389,438,0,93,3.59,-10.15,206,0.00,4.05,1.000,4.69,-2.34,14.84,0.0,14.65,199,4.50,0.70,84,1.02,816,4.7,0.00,0
0.225,0.26,14.63,14.64,1.000,0.00,0.00,396,438,0,93,3.59,-10.14,206,0.00,4.05,1.000,4.69,-2.34,14.80,0.0,14.65,199,4.50,0.70,84,1.02,816,4.7,0.00,0
0.261,0.26,14.63,14.64,1.000,0.00,0.00,402,438,0,93,3.59,-10.14,206,0.00,4.04,1.000,4.69,-2.34,14.85,0.0,14.65,199,4.50,0.70,84,1.02,815,4.7,0.00,0
