Time (sec),Calculated Load (g/rev),CL Fuel Target (AFR),Comm Fuel Final (AFR),Dyn. Adv. Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Gear Position (Gear),Intake Temp Manifold (F),MAF Corr. (g/s),Boost (psi),Oil Temp (F),Req. Torque (Nm),TD Boost Error (psi),TGV Map Ratio (mult),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Accel. Position (%),Baro. Pressure (psi),Coolant Temp (F),Ignition Timing (°),Inj. Duty Cycle (%),Intake Temp (F),MAF Volt. (V),RPM (RPM),Throttle Pos. (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.3.0-17120][2017 USDM WRX MT COBB Custom Features][Reflash: Szymon-2017-WRX-Stage-2-FBO-E-Built-Tuned-No-Burble.ptm - Realtime: Szymon-2017-WRX-Stage-2-FBO-E-Built-Tuned-No-Burble.ptm]
0.000,0.34,14.63,14.53,1.000,0.00,0.00,486,584,0,91,4.70,-9.31,141,80.16,7.06,1.000,0.78,-8.59,14.67,12.2,14.65,162,9.50,0.70,88,1.36,821,11.4,0.00,0
0.021,0.35,14.63,14.47,1.000,0.00,0.00,452,637,0,91,4.95,-9.31,141,80.62,6.66,1.000,0.78,-8.59,14.66,12.5,14.65,162,9.50,0.70,88,1.36,821,11.4,0.00,0
0.069,0.37,14.63,14.47,1.000,0.00,0.00,510,637,0,91,5.32,-8.55,141,81.59,5.93,1.000,0.78,-8.59,14.66,12.9,14.65,162,11.00,0.71,88,1.64,832,11.4,0.00,0
0.100,0.41,14.63,14.36,1.000,0.00,0.00,494,756,0,91,6.05,-8.08,141,83.88,5.54,1.000,0.78,-8.59,14.66,13.3,14.65,162,11.50,1.08,88,1.68,847,11.8,0.00,0
0.133,0.47,14.63,14.42,1.000,0.00,0.00,524,876,0,91,6.91,-7.46,141,86.06,5.01,1.000,0.78,-8.59,14.65,14.1,14.65,162,12.50,1.11,88,1.66,871,12.2,0.00,0
0.170,0.48,14.63,14.42,1.000,0.00,0.00,687,929,0,91,7.41,-6.98,141,88.38,5.01,1.000,0.78,-8.59,14.66,14.1,14.65,162,12.50,1.11,88,1.66,904,12.2,0.00,0
0.201,0.49,14.63,14.42,1.000,0.00,0.00,649,929,0,93,7.83,-6.55,141,89.83,4.60,1.000,0.78,-8.59,14.66,14.1,14.65,162,13.00,1.16,88,1.68,925,12.5,0.00,0
0.229,0.50,14.63,14.42,1.000,0.00,0.00,777,982,0,93,8.29,-6.55,141,90.46,4.25,1.000,0.78,-8.59,14.65,14.1,14.65,162,13.00,1.16,88,1.68,938,12.5,0.00,0
0.235,0.54,14.63,14.47,1.000,0.00,0.00,911,1048,0,93,8.94,-5.82,141,92.30,3.90,1.000,0.78,-8.59,14.65,14.1,14.65,162,14.50,1.20,88,1.72,969,12.9,0.00,0
0.242,0.56,14.63,14.53,1.000,0.00,0.00,905,1101,0,93,9.43,-5.82,141,94.03,3.58,1.000,0.78,-8.59,14.66,14.1,14.65,162,14.00,1.26,88,1.74,996,13.3,0.00,0
0.272,0.56,14.63,14.53,1.000,0.00,0.00,987,1101,0,93,9.89,-5.54,141,95.09,3.66,1.000,0.78,-8.59,14.69,14.1,14.65,162,14.00,1.26,88,1.74,1015,13.3,0.00,0
0.298,0.58,14.63,14.53,1.000,0.00,0.00,931,1155,0,93,10.44,-5.19,141,96.50,3.14,1.000,1.56,-8.59,14.68,14.1,14.65,162,14.00,1.31,86,1.76,1038,13.7,0.00,0
0.307,0.61,14.63,14.64,1.000,0.00,0.00,1091,1208,0,93,11.21,-5.13,141,99.45,3.22,1.000,1.56,-8.59,14.66,14.5,14.65,162,15.00,1.36,86,1.76,1074,14.5,0.00,0
0.311,0.63,14.63,14.64,1.000,0.00,0.00,1116,1208,0,93,11.64,-4.93,141,101.51,3.13,1.000,1.56,-8.59,14.72,15.3,14.65,162,15.00,1.36,86,1.76,1096,14.5,0.00,0
0.355,0.66,14.63,14.64,1.000,0.00,0.00,1124,1314,0,93,12.76,-4.30,141,106.11,3.15,1.000,2.34,-8.59,14.96,16.1,14.65,162,14.50,1.44,86,1.82,1129,15.7,0.00,0
0.390,0.69,14.63,14.64,1.000,0.00,0.00,1179,1314,0,93,13.28,-4.23,141,106.78,2.74,1.000,2.34,-8.59,15.67,16.1,14.65,162,14.50,1.44,86,1.82,1143,15.7,0.00,0
0.432,0.70,14.63,14.64,1.000,0.00,0.00,1251,1314,0,93,13.45,-4.05,141,106.84,2.74,1.000,4.69,-8.59,15.81,16.1,14.65,162,14.00,1.46,86,1.86,1144,16.1,0.00,0
0.437,0.71,14.63,14.64,1.000,0.00,0.00,1234,1314,0,93,13.86,-4.05,141,107.68,2.56,1.000,4.69,-8.59,16.01,16.1,14.65,162,14.00,1.46,86,1.86,1159,16.1,0.00,0
0.441,0.71,14.63,14.64,1.000,0.00,0.00,1320,1367,0,93,14.25,-3.83,141,108.50,2.61,1.000,6.25,-8.59,16.14,16.1,14.65,162,13.00,1.50,86,1.86,1172,16.1,0.00,0
0.479,0.74,14.63,14.64,1.000,0.00,0.00,1343,1367,0,93,14.82,-3.70,141,107.09,2.25,1.000,7.81,-8.59,16.50,14.9,14.65,162,13.00,1.52,86,1.86,1190,15.7,0.00,0
0.509,0.75,14.63,14.64,1.000,0.00,0.00,1307,1367,0,93,15.10,-3.59,141,105.94,2.08,1.000,7.81,-8.59,16.61,13.7,14.65,162,13.00,1.52,86,1.86,1205,15.7,0.00,0
0.566,0.75,14.63,14.64,1.000,0.00,0.00,1431,1420,0,93,15.92,-3.47,141,104.47,1.77,1.000,9.38,-8.59,17.00,12.9,14.65,162,13.50,1.58,86,1.82,1249,15.7,0.00,0
0.580,0.75,14.63,14.64,1.000,0.00,0.00,1363,1420,0,93,16.10,-3.46,141,104.50,1.77,1.000,9.38,-8.59,16.92,12.9,14.65,162,13.50,1.58,86,1.82,1260,15.7,0.00,0
0.636,0.75,14.63,14.64,1.000,0.00,0.00,1492,1420,0,93,16.56,-3.48,141,105.22,1.78,1.000,9.38,-8.59,16.76,12.9,14.65,162,13.50,1.65,86,1.82,1290,15.7,0.00,0
0.672,0.76,14.63,14.64,1.000,0.00,0.00,1443,1420,0,93,16.84,-3.45,141,105.47,1.72,1.000,9.38,-8.59,16.47,12.9,14.65,162,14.00,1.67,86,1.84,1305,16.1,0.00,0
0.706,0.76,14.63,14.64,1.000,0.00,0.00,1443,1420,0,93,17.04,-3.44,141,105.66,1.70,1.000,9.38,-8.59,16.30,12.9,14.65,162,14.00,1.67,86,1.84,1315,16.1,0.00,0
0.728,0.78,14.63,14.64,1.000,0.00,0.00,1497,1420,0,93,16.99,-3.43,141,105.36,1.70,1.000,8.59,-8.59,16.13,12.9,14.65,162,13.50,1.68,86,1.84,1310,16.1,0.00,0
0.752,0.78,14.63,14.64,1.000,0.00,0.00,1520,1420,0,93,17.03,-3.46,141,105.58,1.73,1.000,8.59,-8.59,15.96,12.9,14.65,162,13.50,1.68,86,1.84,1310,16.1,0.00,0
0.800,0.78,14.63,14.64,1.000,0.00,0.00,1442,1420,0,93,17.13,-3.41,141,105.64,1.67,1.000,7.81,-8.59,15.79,12.9,14.65,162,14.00,1.68,86,1.86,1314,16.1,0.00,0
0.825,0.78,14.63,14.64,1.000,0.00,0.00,1501,1420,0,93,17.19,-3.31,141,105.88,1.67,1.000,7.81,-8.59,15.69,12.9,14.65,162,14.00,1.68,86,1.86,1316,16.1,0.00,0
0.831,0.78,14.63,14.64,1.000,0.00,0.00,1487,1420,0,93,17.36,-3.31,141,106.41,1.59,1.000,7.03,-8.59,15.58,12.9,14.65,162,14.00,1.69,86,1.84,1322,16.5,0.00,0
0.861,0.78,14.63,14.64,1.000,0.00,0.00,1520,1420,0,93,17.43,-3.29,141,106.46,1.59,1.000,7.03,-8.59,15.56,12.9,14.65,162,14.00,1.69,86,1.84,1325,16.5,0.00,0
0.908,0.79,14.60,14.64,1.000,0.00,0.00,1528,1420,0,93,17.49,-3.30,141,107.33,1.66,1.000,7.03,-8.59,15.48,13.3,14.65,162,14.00,1.70,86,1.86,1325,16.5,0.00,0
