Time (sec),Calculated Load (g/rev),CL Fuel Target (AFR),Comm Fuel Final (AFR),Dyn. Adv. Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Gear Position (Gear),Intake Temp Manifold (F),MAF Corr. (g/s),Boost (psi),Oil Temp (F),Req. Torque (Nm),TD Boost Error (psi),TGV Map Ratio (mult),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Accel. Position (%),Baro. Pressure (psi),Coolant Temp (F),Ignition Timing (°),Inj. Duty Cycle (%),Intake Temp (F),MAF Volt. (V),RPM (RPM),Throttle Pos. (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.3.0-17120][2017 USDM WRX MT COBB Custom Features][Reflash: Szymon-2017-WRX-Stage-2-FBO-E-Built-Tuned-No-Burble.ptm - Realtime: Szymon-2017-WRX-Stage-2-FBO-E-Built-Tuned-No-Burble.ptm]
0.931,0.79,14.60,14.64,1.000,0.00,0.00,1499,1420,0,93,17.57,-3.18,141,107.72,1.65,1.000,7.03,-8.59,15.35,13.3,14.65,162,14.00,1.70,86,1.86,1325,16.5,0.00,0
0.957,0.79,14.60,14.64,1.000,0.00,0.00,1494,1420,0,93,17.67,-3.18,141,107.78,1.56,1.000,7.03,-8.59,15.29,13.3,14.65,162,14.00,1.70,86,1.86,1327,16.5,0.00,0
0.985,0.80,14.60,14.64,1.000,0.00,0.00,1521,1473,0,93,17.66,-3.16,141,107.69,1.55,1.000,7.03,-8.59,15.28,13.3,14.65,162,13.50,1.69,86,1.88,1323,16.5,0.00,0
1.026,0.80,14.56,14.64,1.000,0.00,0.00,1553,1473,0,93,17.67,-3.17,141,107.65,1.55,1.000,7.03,-8.59,15.33,13.3,14.65,162,13.50,1.69,86,1.88,1321,16.5,0.00,0
1.057,0.80,14.56,14.59,1.000,0.00,0.00,1479,1473,0,93,17.71,-3.12,141,107.65,1.51,1.000,7.03,-8.59,15.26,13.3,14.65,162,13.50,1.69,86,1.88,1321,16.5,0.00,0
1.094,0.80,14.56,14.59,1.000,0.00,0.00,1527,1473,0,93,17.77,-3.10,141,107.70,1.48,1.000,7.03,-8.59,15.13,13.3,14.65,162,13.50,1.69,86,1.86,1325,16.5,0.00,0
1.097,0.80,14.56,14.59,1.000,0.00,0.00,1475,1473,0,93,17.83,-3.10,141,107.55,1.48,1.000,7.03,-8.59,15.06,13.3,14.65,162,13.50,1.69,86,1.86,1326,16.5,0.00,0
1.102,0.80,14.56,14.59,1.000,0.00,0.00,1557,1473,0,93,17.85,-3.10,141,107.34,1.47,1.000,7.03,-8.59,15.07,13.3,14.65,162,13.50,1.70,86,1.86,1326,16.5,0.00,0
1.119,0.80,14.56,14.59,1.000,0.00,0.00,1560,1473,0,93,17.87,-3.08,141,107.11,1.46,1.000,7.03,-8.59,15.16,13.3,14.65,162,13.50,1.70,86,1.86,1325,16.5,0.00,0
1.156,0.80,14.56,14.59,1.000,0.00,0.00,1536,1473,0,93,18.00,-2.99,141,106.94,1.38,1.000,7.03,-8.59,15.10,13.3,14.65,162,13.50,1.70,86,1.86,1327,16.5,0.00,0
1.160,0.80,14.56,14.59,1.000,0.00,0.00,1568,1473,0,93,18.04,-3.00,141,106.79,1.32,1.000,7.03,-8.59,15.02,13.3,14.65,162,13.50,1.70,86,1.86,1330,16.5,0.00,0
1.188,0.80,14.56,14.59,1.000,0.00,0.00,1491,1473,0,93,18.05,-3.02,141,106.60,1.31,1.000,7.03,-8.59,15.10,12.9,14.65,162,13.50,1.70,86,1.86,1332,16.5,0.00,0
1.216,0.80,14.56,14.59,1.000,0.00,0.00,1561,1473,0,93,18.07,-3.01,141,106.65,1.31,1.000,7.81,-8.59,15.25,12.9,14.65,162,13.50,1.70,86,1.86,1334,16.5,0.00,0
1.221,0.80,14.56,14.59,1.000,0.00,0.00,1565,1473,0,93,18.11,-3.01,141,105.62,1.24,1.000,7.81,-8.59,14.99,12.9,14.65,162,13.50,1.99,86,1.86,1336,16.1,0.00,0
1.275,0.80,14.56,14.59,1.000,0.00,0.00,1487,1473,0,93,18.14,-3.03,141,105.44,1.22,1.000,7.81,-8.59,15.02,12.9,14.65,162,13.50,1.99,86,1.86,1338,16.1,0.00,0
1.280,0.80,14.56,14.59,1.000,0.00,0.00,1494,1473,0,93,18.21,-3.02,141,105.55,1.24,1.000,7.03,-8.59,15.08,12.9,14.65,162,14.00,2.01,86,1.86,1345,16.1,0.00,0
1.334,0.80,14.56,14.59,1.000,0.00,0.00,1525,1473,0,93,18.39,-3.02,141,106.43,1.27,1.000,7.81,-8.59,14.92,12.9,14.65,162,14.00,2.02,86,1.86,1357,16.5,0.00,0
1.340,0.80,14.56,14.59,1.000,0.00,0.00,1539,1473,0,93,18.41,-3.06,141,106.76,1.31,1.000,7.81,-8.59,14.83,12.9,14.65,162,14.00,2.02,86,1.86,1364,16.5,0.00,0
1.374,0.80,14.56,14.59,1.000,0.00,0.00,1469,1473,0,93,18.53,-3.08,141,107.34,1.37,1.000,7.03,-8.59,14.90,12.9,14.65,162,14.00,2.04,86,1.88,1370,16.5,0.00,0
1.377,0.81,14.56,14.59,1.000,0.00,0.00,1470,1473,0,93,18.57,-3.06,141,107.99,1.39,1.000,7.81,-8.59,14.87,13.3,14.65,162,14.00,2.05,86,1.88,1367,16.5,0.00,0
1.382,0.80,14.56,14.59,1.000,0.00,0.00,1447,1473,1,93,18.59,-3.08,141,109.65,1.53,1.000,7.03,-8.59,14.78,13.7,14.65,162,14.00,2.04,86,1.88,1369,16.5,0.00,0
1.420,0.81,14.53,14.53,1.000,0.00,0.00,1475,1473,1,93,18.76,-3.00,141,111.05,1.59,1.000,7.81,-8.59,14.84,14.1,14.65,162,14.00,2.04,86,1.88,1369,16.9,0.00,0
1.435,0.81,14.53,14.53,1.000,0.00,0.00,1535,1473,1,93,18.84,-2.97,141,110.84,1.52,1.000,7.81,-8.59,14.77,14.1,14.65,162,13.50,2.05,86,1.90,1370,16.9,0.00,0
1.464,0.81,14.53,14.53,1.000,0.00,0.00,1483,1473,1,93,18.89,-2.97,141,110.61,1.48,1.000,7.81,-8.59,14.74,14.1,14.65,162,13.50,2.05,86,1.90,1370,16.9,0.00,0
1.497,0.81,14.53,14.53,1.000,0.00,0.00,1501,1473,1,91,18.98,-2.97,141,110.75,1.49,1.000,7.81,-8.59,14.81,14.1,14.65,162,13.50,2.04,86,1.90,1366,16.9,0.00,0
1.512,0.83,14.49,14.53,1.000,0.00,0.00,1490,1473,1,91,19.05,-2.91,141,111.85,1.48,1.000,7.81,-8.59,14.81,14.5,14.65,162,13.50,2.04,86,1.90,1364,16.9,0.00,0
1.537,0.83,14.49,14.53,1.000,0.00,0.00,1524,1473,1,91,19.09,-2.90,141,112.14,1.51,1.000,7.81,-8.59,14.79,14.5,14.65,162,13.50,2.04,86,1.90,1366,16.9,0.00,0
1.551,0.83,14.49,14.53,1.000,0.00,0.00,1539,1473,1,91,19.08,-2.89,141,112.51,1.52,1.000,7.81,-8.59,14.80,14.5,14.65,162,13.50,2.04,86,1.90,1363,16.9,0.00,0
1.590,0.83,14.49,14.53,1.000,0.00,0.00,1459,1473,1,91,19.16,-2.90,141,112.38,1.53,1.000,7.81,-8.59,14.81,14.5,14.65,162,13.50,2.04,86,1.90,1367,16.9,0.00,0
1.633,0.84,14.46,14.47,1.000,0.00,0.00,1503,1473,1,91,19.19,-2.86,141,111.66,1.48,1.000,7.81,-8.59,14.73,14.5,14.65,162,13.50,2.04,86,1.90,1366,16.9,0.00,0
1.655,0.84,14.46,14.47,1.000,0.00,0.00,1541,1473,1,91,19.27,-2.83,141,111.39,1.41,1.000,8.59,-8.59,14.71,14.1,14.65,162,13.00,2.04,86,1.90,1363,16.9,0.00,0
1.659,0.84,14.46,14.47,1.000,0.00,0.00,1470,1473,1,91,19.27,-2.80,141,111.03,1.38,1.000,8.59,-8.59,14.69,14.1,14.65,162,13.00,2.03,86,1.90,1360,16.9,0.00,0
1.691,0.84,14.46,14.47,1.000,0.00,0.00,1513,1473,1,91,19.27,-2.79,141,111.26,1.35,1.000,8.59,-8.59,14.65,14.1,14.65,162,13.00,2.03,86,1.90,1360,16.9,0.00,0
1.710,0.85,14.43,14.47,1.000,0.00,0.00,1514,1526,1,91,19.18,-2.79,141,111.29,1.37,1.000,8.59,-8.59,14.62,14.5,14.65,162,13.00,2.03,86,1.90,1354,16.9,0.00,0
1.747,0.84,14.43,14.53,1.000,0.00,0.00,1567,1526,1,91,19.14,-2.79,141,111.43,1.37,1.000,8.59,-8.59,14.58,14.5,14.65,162,13.00,2.03,86,1.90,1350,16.9,0.00,0
1.751,0.84,14.46,14.47,1.000,0.00,0.00,1486,1526,1,91,19.12,-2.79,141,111.59,1.39,1.000,7.81,-8.59,14.59,14.5,14.65,162,13.00,2.01,86,1.90,1348,16.9,0.00,0
1.766,0.85,14.43,14.53,1.000,0.00,0.00,1581,1526,1,91,18.98,-2.79,141,111.68,1.40,1.000,7.81,-8.59,14.60,14.5,14.65,162,13.00,2.01,86,1.90,1337,16.9,0.00,0
1.789,0.85,14.43,14.53,1.000,0.00,0.00,1548,1526,1,91,18.85,-2.72,141,111.91,1.39,1.000,8.59,-8.59,14.46,14.9,14.65,162,12.50,1.99,86,1.90,1318,16.9,0.00,0
1.824,0.85,14.43,14.53,1.000,0.00,0.00,1568,1526,1,91,18.73,-2.67,141,111.22,1.34,1.000,7.81,-8.59,14.49,14.9,14.65,162,12.50,1.96,86,1.88,1303,16.9,0.00,0
1.843,0.85,14.43,14.53,1.000,0.00,0.00,1503,1526,1,91,18.71,-2.62,141,111.33,1.31,1.000,8.59,-8.59,14.51,14.9,14.65,162,12.00,1.94,86,1.90,1300,16.9,0.00,0
1.861,0.87,14.39,14.59,1.000,0.00,0.00,1551,1526,1,91,18.80,-2.57,141,111.74,1.28,1.000,8.59,-8.59,14.43,14.9,14.65,162,12.00,1.94,86,1.90,1296,16.9,0.00,0
1.877,0.87,14.39,14.59,1.000,0.00,0.00,1504,1526,1,91,18.84,-2.56,141,112.21,1.25,1.000,8.59,-8.59,14.39,15.3,14.65,162,12.00,1.94,86,1.90,1298,16.9,0.00,0
1.891,0.87,14.39,14.59,1.000,0.00,0.00,1596,1526,1,91,18.96,-2.56,141,112.90,1.28,1.000,8.59,-8.59,14.37,15.3,14.65,162,12.00,1.94,86,1.90,1306,16.9,0.00,0
1.915,0.87,14.43,14.53,1.000,0.00,0.00,1599,1526,1,91,19.13,-2.57,141,113.97,1.35,1.000,7.81,-8.59,14.38,15.7,14.65,162,12.00,1.97,86,1.88,1318,17.3,0.00,0
1.930,0.84,14.39,14.59,1.000,0.00,0.00,1511,1526,1,91,19.51,-2.60,141,116.14,1.43,1.000,7.81,-8.59,14.38,15.7,14.65,162,12.00,1.97,86,1.88,1346,17.3,0.00,0
1.975,0.85,14.43,14.53,1.000,0.00,0.00,1570,1526,1,91,20.41,-2.60,141,121.80,1.69,1.000,7.81,-8.59,14.22,16.9,14.65,162,11.50,2.04,86,1.90,1404,17.6,0.00,0
2.026,0.85,14.39,14.59,1.000,0.00,0.00,1495,1526,1,91,21.72,-2.58,141,129.30,2.10,1.000,7.03,-8.59,14.27,17.6,14.65,162,13.00,2.15,86,1.96,1482,18.8,0.00,0
2.037,0.87,14.39,14.59,1.000,0.00,0.00,1507,1526,1,91,22.47,-2.56,141,133.43,2.34,1.000,7.03,-8.59,14.26,18.0,14.65,162,13.50,2.27,86,2.02,1519,20.0,0.00,0
2.052,0.88,14.36,14.64,1.000,0.00,0.00,1552,1526,1,91,23.17,-2.54,141,137.95,2.55,1.000,7.03,-8.59,14.26,18.4,14.65,162,13.50,2.27,86,2.02,1552,20.0,0.00,0
2.085,0.91,14.23,14.64,1.000,0.00,0.00,1498,1593,1,91,24.27,-2.40,141,141.71,2.76,1.000,7.03,-8.59,14.38,18.8,14.65,162,14.00,2.36,86,2.10,1590,21.2,0.00,0
2.111,0.92,14.23,14.70,1.000,0.00,0.00,1587,1593,1,91,25.03,-2.27,141,141.75,2.76,1.000,7.03,-8.59,14.42,18.8,14.65,162,14.00,2.36,86,2.10,1617,21.2,0.00,0
2.124,0.93,14.22,14.70,1.000,0.00,0.00,1617,1593,1,91,25.84,-2.11,141,141.54,2.37,1.000,8.59,-8.59,14.48,18.8,14.65,162,14.00,2.44,86,2.14,1631,21.2,0.00,0
2.143,0.94,14.22,14.70,1.000,0.00,0.00,1518,1593,1,91,26.34,-2.06,141,141.24,2.37,1.000,8.59,-8.59,14.55,18.8,14.65,162,14.00,2.44,86,2.14,1652,21.2,0.00,0
2.157,0.94,14.19,14.70,1.000,0.00,0.00,1565,1593,1,91,26.64,-2.07,141,141.06,2.26,1.000,9.38,-8.59,14.60,18.8,14.65,162,13.50,2.82,86,2.16,1664,20.8,0.00,0
2.195,0.96,14.15,14.70,1.000,0.00,0.00,1570,1593,1,91,26.72,-2.11,141,140.61,2.24,1.000,9.38,-8.59,14.57,18.4,14.65,162,13.50,2.82,86,2.16,1670,20.8,0.00,0
2.222,0.96,14.15,14.64,1.000,0.00,0.00,1629,1593,1,91,26.75,-2.16,141,140.19,2.26,1.000,9.38,-8.59,14.60,18.4,14.65,162,14.00,2.85,86,2.14,1674,20.4,0.00,0
2.227,0.96,14.15,14.64,1.000,0.00,0.00,1664,1593,1,91,26.79,-2.11,141,140.18,2.26,1.000,9.38,-8.59,14.64,18.4,14.65,162,14.00,2.85,86,2.14,1675,20.4,0.00,0
2.238,0.96,14.15,14.64,1.000,0.00,0.00,1664,1593,1,91,26.89,-2.06,141,140.49,2.22,1.000,10.16,-8.59,14.59,18.4,14.65,162,14.00,2.86,86,2.12,1678,20.4,0.00,0
2.252,0.96,14.15,14.64,1.000,0.00,0.00,1581,1593,1,91,26.88,-2.12,141,140.82,2.17,1.000,10.16,-8.59,14.50,18.8,14.65,162,14.00,2.86,86,2.12,1679,20.4,0.00,0
2.274,0.96,14.15,14.64,1.000,0.00,0.00,1647,1593,1,91,26.91,-2.23,141,141.09,2.36,1.000,9.38,-8.59,14.46,18.8,14.65,162,14.00,2.88,86,2.12,1686,20.4,0.00,0
2.290,0.94,14.15,14.64,1.000,0.00,0.00,1664,1593,1,91,26.96,-2.27,141,141.39,2.40,1.000,9.38,-8.59,14.47,18.8,14.65,162,14.00,2.88,86,2.12,1689,20.4,0.00,0
2.315,0.94,14.19,14.64,1.000,0.00,0.00,1561,1593,1,91,27.31,-2.13,141,141.59,2.23,1.000,9.38,-8.59,14.43,18.8,14.65,162,14.00,2.88,86,2.12,1700,20.4,0.00,0
2.344,0.96,14.15,14.64,1.000,0.00,0.00,1609,1593,1,91,27.70,-2.24,141,144.88,2.21,1.000,9.38,-8.59,14.36,19.6,14.65,162,14.00,2.91,86,2.12,1720,20.4,0.00,0
2.348,0.94,14.19,14.64,1.000,0.00,0.00,1639,1593,1,91,27.89,-2.24,141,147.07,2.46,1.000,9.38,-8.59,14.34,20.0,14.65,162,14.00,2.91,86,2.12,1740,20.4,0.00,0
2.372,0.94,14.19,14.70,1.000,0.00,0.00,1591,1593,1,91,28.10,-2.21,141,153.79,2.67,1.000,9.38,-8.59,14.31,21.2,14.65,162,14.50,2.97,86,2.14,1771,21.2,0.00,0
2.393,0.96,14.15,14.70,1.000,0.00,0.00,1604,1593,1,91,28.78,-2.01,141,156.07,2.52,1.000,9.38,-8.59,14.28,22.0,14.65,162,14.50,2.97,86,2.14,1783,21.2,0.00,0
2.409,0.96,14.12,14.64,1.000,0.00,0.00,1653,1593,1,91,29.65,-2.16,141,162.96,2.81,1.000,9.38,-8.59,14.28,22.4,14.65,162,14.00,3.07,86,2.20,1839,22.0,0.00,0
2.445,0.97,14.12,14.59,1.000,0.00,0.00,1660,1593,1,91,30.48,-2.09,141,165.28,2.88,1.000,9.38,-8.59,14.27,22.7,14.65,162,14.00,3.07,86,2.20,1855,22.0,0.00,0
2.455,0.97,14.12,14.59,1.000,0.00,0.00,1582,1593,1,91,31.44,-1.97,142,166.59,2.88,1.000,9.38,-8.59,14.23,22.7,14.65,162,14.00,3.18,86,2.26,1893,22.7,0.00,0
2.461,0.98,14.12,14.59,1.000,0.00,0.00,1601,1593,1,91,31.99,-1.92,142,167.32,2.77,1.000,9.38,-8.59,14.21,23.1,14.65,162,14.00,3.18,86,2.26,1912,22.7,0.00,0
2.485,1.00,14.05,14.53,1.000,0.00,0.00,1678,1646,1,91,33.17,-1.78,142,170.01,2.65,1.000,9.38,-8.59,14.21,23.5,14.65,162,14.00,3.32,86,2.26,1961,22.7,0.00,0
2.499,1.00,14.05,14.53,1.000,0.00,0.00,1704,1646,1,91,33.73,-1.77,142,173.01,2.77,1.000,9.38,-8.59,14.19,23.9,14.65,162,14.00,3.32,86,2.26,1993,22.7,0.00,0
2.526,1.01,14.02,14.53,1.000,0.00,0.00,1677,1646,1,91,34.12,-1.81,142,173.29,2.81,1.000,10.16,-8.59,14.13,23.9,14.65,162,14.50,3.43,86,2.28,2014,23.1,0.00,0
2.557,1.01,14.02,14.53,1.000,0.00,0.00,1725,1646,1,91,34.72,-1.80,142,175.57,2.91,1.000,10.16,-8.59,14.12,24.3,14.65,162,14.50,3.43,86,2.28,2043,23.1,0.00,0
2.577,1.02,14.02,14.53,1.000,0.00,0.00,1653,1646,1,91,35.27,-1.75,142,175.45,2.95,1.000,10.16,-8.59,13.99,24.3,14.65,162,14.50,3.49,86,2.32,2068,23.5,0.00,0
2.586,1.02,13.98,14.53,1.000,0.00,0.00,1710,1646,1,91,35.62,-1.77,142,175.44,2.91,1.000,10.16,-8.59,13.87,24.3,14.65,162,14.50,3.49,86,2.32,2071,23.5,0.00,0
2.601,1.02,13.98,14.47,1.000,0.00,0.00,1731,1646,1,91,36.12,-1.71,142,174.86,2.91,1.000,9.38,-8.59,13.84,24.3,14.65,162,14.50,3.56,86,2.34,2089,23.1,0.00,0
2.627,1.03,13.98,14.47,1.000,0.00,0.00,1631,1646,1,91,36.22,-1.74,142,174.85,2.81,1.000,9.38,-8.59,13.83,24.3,14.65,162,14.50,3.56,86,2.34,2092,23.1,0.00,0
2.654,1.02,13.95,14.42,1.000,0.00,0.00,1696,1646,1,91,36.39,-1.92,142,174.76,2.91,1.000,8.59,-8.59,13.80,24.3,14.65,162,14.00,3.59,86,2.34,2110,23.1,0.00,0
2.663,1.02,13.98,14.47,1.000,0.00,0.00,1633,1646,1,91,36.47,-1.87,142,174.75,3.02,1.000,8.59,-8.59,13.83,24.3,14.65,162,14.00,3.59,86,2.34,2112,23.1,0.00,0
2.686,1.03,13.95,14.42,1.000,0.00,0.00,1698,1646,1,91,36.72,-1.81,142,175.21,2.97,1.000,8.59,-8.59,13.92,24.3,14.65,162,14.00,3.61,86,2.36,2115,23.1,0.00,0
2.695,1.03,13.95,14.42,1.000,0.00,0.00,1702,1646,1,90,37.04,-1.80,142,175.18,2.99,1.000,8.59,-8.59,13.94,24.3,14.65,162,14.00,3.61,86,2.36,2123,23.1,0.00,0
2.709,1.05,13.95,14.42,1.000,0.00,0.00,1614,1646,1,90,37.33,-1.83,142,175.66,2.92,1.000,8.59,-8.59,13.96,24.3,14.65,162,14.00,3.61,86,2.36,2131,23.1,0.00,0
2.723,1.05,13.91,14.42,1.000,0.00,0.00,1627,1646,1,90,37.50,-1.94,142,175.10,3.06,1.000,9.38,-8.59,13.99,24.3,14.65,162,14.00,3.64,86,2.36,2139,23.1,0.00,0
