Time (sec),Calculated Load (g/rev),CL Fuel Target (AFR),Comm Fuel Final (AFR),Dyn. Adv. Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Gear Position (Gear),Intake Temp Manifold (F),MAF Corr. (g/s),Boost (psi),Oil Temp (F),Req. Torque (Nm),TD Boost Error (psi),TGV Map Ratio (mult),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Accel. Position (%),Baro. Pressure (psi),Coolant Temp (F),Ignition Timing (°),Inj. Duty Cycle (%),Intake Temp (F),MAF Volt. (V),RPM (RPM),Throttle Pos. (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.3.0-17120][2017 USDM WRX MT COBB Custom Features][Reflash: Szymon-2017-WRX-Stage-2-FBO-E-Built-Tuned-No-Burble.ptm - Realtime: Szymon-2017-WRX-Stage-2-FBO-E-Built-Tuned-No-Burble.ptm]
0.000,0.32,14.59,14.64,1.000,0.00,0.00,536,544,4,102,13.21,-9.82,209,50.45,2.01,1.000,-1.56,-6.25,15.68,7.8,14.65,192,28.00,1.54,88,1.62,2409,11.8,0.00,0
0.038,0.34,14.59,14.64,1.000,0.00,0.00,557,610,4,102,13.71,-9.52,209,49.61,1.48,1.000,-0.78,-6.25,15.93,7.8,14.65,192,28.00,2.06,88,1.68,2417,12.2,0.00,0
0.065,0.34,14.60,14.64,1.000,0.00,0.00,556,610,4,102,13.87,-9.44,209,51.98,1.60,1.000,0.78,-6.25,16.05,7.8,14.65,192,28.00,2.06,88,1.72,2415,12.2,0.00,0
0.095,0.34,14.60,14.64,1.000,0.00,0.00,622,610,4,102,14.15,-9.43,209,51.78,1.54,1.000,0.78,-6.25,16.13,7.8,14.65,192,28.00,2.07,88,1.70,2426,12.2,0.00,0
0.135,0.35,14.60,14.64,1.000,0.00,0.00,616,610,4,102,14.28,-9.29,209,48.03,1.18,1.000,1.56,-6.25,16.12,7.5,14.65,192,28.00,2.07,88,1.70,2418,11.8,0.00,0
0.140,0.35,14.60,14.64,1.000,0.00,0.00,626,610,4,102,14.26,-9.28,209,48.08,1.20,1.000,1.56,-6.25,16.08,7.5,14.65,192,28.00,2.07,88,1.70,2415,11.8,0.00,0
0.144,0.35,14.60,14.64,1.000,0.00,0.00,627,610,4,102,14.30,-9.24,209,48.81,1.21,1.000,1.56,-6.25,15.99,7.5,14.65,192,28.00,2.06,88,1.70,2414,12.2,0.00,0
0.201,0.35,14.60,14.64,1.000,0.00,0.00,621,610,4,102,14.42,-9.29,209,49.62,1.26,1.000,1.56,-6.25,15.87,7.8,14.65,192,28.00,2.06,88,1.70,2413,12.2,0.00,0
0.251,0.35,14.60,14.64,1.000,0.00,0.00,622,610,4,102,14.49,-9.31,209,48.86,1.27,1.000,1.56,-6.25,15.90,7.5,14.65,192,28.00,2.06,88,1.70,2411,12.2,0.00,0
0.269,0.36,14.60,14.64,1.000,0.00,0.00,644,610,4,102,14.58,-9.21,209,48.81,1.27,1.000,1.56,-6.25,15.84,7.5,14.65,192,28.00,2.06,88,1.72,2408,12.2,0.00,0
0.311,0.36,14.61,14.64,1.000,0.00,0.00,676,664,4,102,14.70,-9.14,209,47.25,0.99,1.000,1.56,-6.25,15.72,7.5,14.65,192,28.00,2.06,88,1.72,2417,11.8,0.00,0
0.346,0.36,14.61,14.64,1.000,0.00,0.00,677,664,4,102,14.68,-9.07,209,46.46,0.99,1.000,1.56,-6.25,15.68,7.5,14.65,192,28.00,2.06,88,1.72,2421,11.8,0.00,0
0.351,0.36,14.61,14.64,1.000,0.00,0.00,682,664,4,102,14.66,-9.32,209,45.62,0.87,1.000,1.56,-6.25,15.61,7.5,14.65,192,28.00,2.06,88,1.68,2418,11.8,0.00,0
0.386,0.36,14.61,14.64,1.000,0.00,0.00,688,664,4,102,14.63,-9.23,209,45.60,1.05,1.000,1.56,-6.25,15.67,7.5,14.65,192,28.00,2.06,88,1.68,2421,11.8,0.00,0
0.391,0.35,14.61,14.64,1.000,0.00,0.00,692,664,4,102,14.57,-9.09,209,45.66,0.83,1.000,1.56,-6.25,15.65,7.5,14.65,192,28.00,2.06,88,1.68,2417,11.8,0.00,0
0.396,0.35,14.61,14.64,1.000,0.00,0.00,677,664,4,102,14.50,-9.31,209,45.76,0.94,1.000,1.56,-6.25,15.61,7.5,14.65,192,28.00,2.06,88,1.68,2411,11.8,0.00,0
0.400,0.35,14.60,14.64,1.000,0.00,0.00,673,664,4,102,14.47,-9.06,209,45.79,0.92,1.000,1.56,-6.25,15.61,7.5,14.65,192,28.00,1.54,88,1.68,2410,11.8,0.00,0
0.404,0.35,14.60,14.64,1.000,0.00,0.00,670,664,4,102,14.51,-9.21,209,46.54,0.86,1.000,1.56,-6.25,15.58,7.5,14.65,192,28.00,1.54,88,1.68,2410,11.8,0.00,0
0.423,0.36,14.61,14.64,1.000,0.00,0.00,704,664,4,102,14.57,-9.08,209,46.58,0.88,1.000,2.34,-6.25,15.59,7.5,14.65,192,28.00,2.06,88,1.70,2411,12.2,0.00,0
