Time (sec),Calculated Load (g/rev),CL Fuel Target (AFR),Comm Fuel Final (AFR),Dyn. Adv. Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Gear Position (Gear),Intake Temp Manifold (F),MAF Corr. (g/s),Boost (psi),Oil Temp (F),Req. Torque (Nm),TD Boost Error (psi),TGV Map Ratio (mult),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Accel. Position (%),Baro. Pressure (psi),Coolant Temp (F),Ignition Timing (°),Inj. Duty Cycle (%),Intake Temp (F),MAF Volt. (V),RPM (RPM),Throttle Pos. (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.3.0-17120][2017 USDM WRX MT COBB Custom Features][Reflash: Szymon-2017-WRX-Stage-2-FBO-E-Built-Tuned-No-Burble.ptm - Realtime: Szymon-2017-WRX-Stage-2-FBO-E-Built-Tuned-No-Burble.ptm]
0.000,0.30,14.58,14.36,1.000,0.00,0.00,532,518,2,88,12.54,-10.68,96,35.40,1.68,1.000,-1.56,-8.59,14.21,9.4,14.65,99,32.50,2.08,90,1.60,2445,11.4,0.00,0
0.035,0.31,14.58,14.36,1.000,0.00,0.00,554,518,2,88,13.02,-10.48,96,39.35,1.65,1.000,-1.56,-8.59,14.22,9.4,14.65,99,32.50,2.08,90,1.66,2434,11.8,0.00,0
0.039,0.32,14.58,14.36,1.000,0.00,0.00,557,584,2,88,13.17,-10.41,96,40.92,1.75,1.000,-1.56,-8.59,14.22,9.4,14.65,99,32.50,2.08,90,1.66,2434,11.8,0.00,0
0.043,0.32,14.59,14.36,1.000,0.00,0.00,572,584,2,88,13.51,-10.31,97,43.28,1.88,1.000,-1.56,-8.59,14.30,9.4,14.65,99,32.00,2.08,90,1.68,2427,12.2,0.00,0
0.071,0.34,14.60,14.42,1.000,0.00,0.00,568,584,2,88,13.74,-10.21,97,44.83,1.89,1.000,-1.56,-8.59,14.31,9.4,14.65,99,32.00,2.08,90,1.68,2428,12.2,0.00,0
0.108,0.34,14.60,14.42,1.000,0.00,0.00,587,584,2,88,13.87,-10.12,97,45.60,1.89,1.000,-1.56,-8.59,14.31,9.4,14.65,99,32.00,2.07,90,1.72,2427,12.5,0.00,0
0.112,0.35,14.60,14.42,1.000,0.00,0.00,588,637,2,90,14.46,-9.88,97,49.48,2.06,1.000,-1.56,-8.59,14.35,9.0,14.65,99,32.00,2.07,90,1.74,2430,12.5,0.00,0
0.137,0.35,14.60,14.42,1.000,0.00,0.00,586,637,2,90,14.67,-9.94,97,50.25,1.91,1.000,-1.56,-8.59,14.36,9.4,14.65,99,32.00,2.07,90,1.74,2434,12.5,0.00,0
0.141,0.36,14.61,14.42,1.000,0.00,0.00,635,637,2,90,15.31,-9.65,97,54.19,2.09,1.000,-1.56,-8.59,14.43,9.4,14.65,99,32.00,2.08,90,1.76,2445,12.9,0.00,0
0.168,0.37,14.61,14.42,1.000,0.00,0.00,617,690,2,90,15.48,-9.78,97,54.99,2.04,1.000,-1.56,-8.59,14.44,9.8,14.65,99,32.00,2.09,90,1.78,2450,13.3,0.00,0
