Time (sec),Calculated Load (g/rev),CL Fuel Target (AFR),Comm Fuel Final (AFR),Dyn. Adv. Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Gear Position (Gear),Intake Temp Manifold (F),MAF Corr. (g/s),Boost (psi),Oil Temp (F),Req. Torque (Nm),TD Boost Error (psi),TGV Map Ratio (mult),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Accel. Position (%),Baro. Pressure (psi),Coolant Temp (F),Ignition Timing (°),Inj. Duty Cycle (%),Intake Temp (F),MAF Volt. (V),RPM (RPM),Throttle Pos. (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.3.0-17120][2017 USDM WRX MT COBB Custom Features][Reflash: Szymon-2017-WRX-Stage-2-FBO-E-Built-Tuned-No-Burble.ptm - Realtime: Szymon-2017-WRX-Stage-2-FBO-E-Built-Tuned-No-Burble.ptm]
0.000,0.27,14.63,14.64,1.000,0.00,0.00,388,438,0,108,3.66,-10.14,208,0.00,4.02,1.000,2.34,-6.25,14.64,0.0,14.79,196,7.00,0.69,97,1.02,805,5.1,0.00,0
0.036,0.27,14.63,14.64,1.000,0.00,0.00,387,438,0,109,3.63,-10.14,208,21.01,4.79,1.000,2.34,-6.25,14.65,2.0,14.79,196,7.00,0.69,97,1.02,802,5.1,0.00,0
0.040,0.27,14.63,14.64,1.000,0.00,0.00,408,438,0,108,3.65,-10.13,208,28.16,5.20,1.000,2.34,-6.25,14.64,3.1,14.79,196,7.00,0.69,97,1.02,801,5.1,0.00,0
0.070,0.27,14.63,14.64,1.000,0.00,0.00,409,438,0,109,3.79,-10.12,208,61.76,6.20,1.000,2.34,-5.47,14.64,7.8,14.79,196,8.00,0.68,97,1.16,801,8.2,0.00,0
0.094,0.28,14.63,14.64,1.000,0.00,0.00,386,491,0,109,3.89,-10.03,208,66.26,6.59,1.000,2.34,-5.47,14.65,8.6,14.79,196,8.00,0.68,97,1.16,801,8.2,0.00,0
0.112,0.30,14.63,14.53,1.000,0.00,0.00,384,491,0,108,4.02,-10.03,208,76.12,6.93,1.000,2.34,-4.69,14.65,10.2,14.79,196,8.50,0.85,97,1.32,799,10.6,0.00,0
0.146,0.30,14.63,14.53,1.000,0.00,0.00,405,491,0,109,4.13,-9.45,208,78.56,7.14,1.000,2.34,-4.69,14.64,11.8,14.79,196,8.50,0.85,97,1.32,799,10.6,0.00,0
0.162,0.31,14.63,14.53,1.000,0.00,0.00,408,544,0,108,4.26,-9.45,208,80.72,6.67,1.000,2.34,-4.69,14.63,13.3,14.79,196,8.50,0.85,97,1.32,799,10.6,0.00,0
0.168,0.34,14.63,14.47,1.000,0.00,0.00,448,610,0,109,4.63,-8.80,208,82.72,6.09,1.000,2.34,-3.91,14.64,14.5,14.79,196,9.50,0.85,97,1.40,803,11.4,0.00,0
0.194,0.36,14.63,14.47,1.000,0.00,0.00,455,610,0,109,4.89,-8.80,208,84.40,6.17,1.000,2.34,-3.91,14.64,15.7,14.79,196,9.50,0.85,97,1.40,807,11.4,0.00,0
