Time (sec),Calculated Load (g/rev),CL Fuel Target (AFR),Comm Fuel Final (AFR),Dyn. Adv. Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Gear Position (Gear),Intake Temp Manifold (F),MAF Corr. (g/s),Boost (psi),Oil Temp (F),Req. Torque (Nm),TD Boost Error (psi),TGV Map Ratio (mult),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Accel. Position (%),Baro. Pressure (psi),Coolant Temp (F),Ignition Timing (°),Inj. Duty Cycle (%),Intake Temp (F),MAF Volt. (V),RPM (RPM),Throttle Pos. (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.3.0-17120][2017 USDM WRX MT COBB Custom Features][Reflash: Szymon-2017-WRX-Stage-2-FBO-E-Built-Tuned-No-Burble.ptm - Realtime: Szymon-2017-WRX-Stage-2-FBO-E-Built-Tuned-No-Burble.ptm]
0.000,0.71,14.60,14.64,0.812,0.00,-1.05,1384,1407,6,73,32.18,-4.39,202,118.86,-0.84,1.000,-0.78,-2.34,14.56,17.3,14.65,196,21.00,3.38,68,2.22,2641,18.4,0.00,0
0.026,0.71,14.60,14.64,0.812,0.00,-1.05,1368,1407,6,73,31.72,-4.82,202,120.54,-0.47,1.000,-0.78,-2.34,14.63,17.6,14.65,196,20.50,3.37,68,2.22,2638,18.4,0.00,0
0.062,0.71,14.60,14.64,0.812,0.00,-1.05,1391,1407,6,73,32.23,-4.60,202,120.03,-0.32,1.000,-0.78,-2.34,14.63,17.6,14.65,196,20.50,3.38,68,2.26,2644,18.4,0.00,0
0.091,0.72,14.60,14.64,0.812,0.00,-1.05,1368,1407,6,73,32.23,-4.59,202,120.12,-0.88,1.000,-0.78,-2.34,14.67,17.6,14.65,196,21.00,3.37,68,2.24,2637,18.4,0.00,0
0.100,0.72,14.60,14.64,0.812,0.00,-1.05,1349,1407,6,73,32.02,-4.75,202,120.16,-0.58,1.000,-0.78,-2.34,14.64,17.6,14.65,196,21.00,3.37,68,2.24,2634,18.4,0.00,0
0.130,0.74,14.60,14.64,0.812,0.00,-1.05,1358,1407,6,73,32.54,-4.58,202,121.64,-0.58,1.000,-0.78,-2.34,14.54,18.0,14.65,196,20.00,3.38,68,2.22,2642,18.4,0.00,0
0.164,0.74,14.60,14.64,0.812,0.00,-1.05,1391,1407,6,73,32.29,-4.70,202,122.94,-0.30,1.000,-0.78,-2.34,14.55,18.0,14.65,196,20.00,3.38,68,2.22,2637,18.4,0.00,0
0.169,0.72,14.60,14.64,0.812,0.00,-1.05,1358,1407,6,73,32.37,-4.53,202,122.93,-0.30,1.000,-0.78,-2.34,14.53,18.0,14.65,196,21.00,3.37,68,2.26,2638,18.8,0.00,0
0.185,0.74,14.60,14.64,0.812,0.00,-1.05,1389,1407,6,73,32.68,-4.65,202,122.56,-0.47,1.000,-0.78,-2.34,14.56,18.0,14.65,196,21.00,3.37,68,2.26,2640,18.8,0.00,0
0.191,0.74,14.60,14.64,0.812,0.00,-1.05,1371,1407,6,73,33.31,-4.32,202,122.12,-0.88,1.000,-1.56,-2.34,14.51,18.0,14.65,196,21.00,3.38,68,2.26,2637,18.4,0.00,0
